#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Cquinoa_AUR62002717	dual	dual	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002716	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002718	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002719	mitochondrial	mitochondrial	mitochondrial	mitochondrial	non-organellar
Cquinoa_AUR62002720	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002721	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002722	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002723	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002724	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002725	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002726	plastid	non-organellar	plastid	plastid	non-organellar
Cquinoa_AUR62002727	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002728	plastid	non-organellar	plastid	plastid	non-organellar
Cquinoa_AUR62002729	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002730	plastid	plastid	plastid	plastid	plastid
Cquinoa_AUR62002731	plastid	plastid	plastid	plastid	plastid
Cquinoa_AUR62002733	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002732	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002735	plastid	plastid	plastid	plastid	non-organellar
Cquinoa_AUR62002734	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002736	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002738	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002737	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002739	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002740	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002741	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002742	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002743	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002744	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002745	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002746	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002747	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002748	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002749	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002750	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002751	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002752	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002753	dual	dual	mitochondrial	mitochondrial	mitochondrial
Cquinoa_AUR62002754	plastid	plastid	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002756	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002755	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002757	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002758	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002762	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002759	dual	dual	plastid	plastid	dual
Cquinoa_AUR62002760	dual	dual	mitochondrial	mitochondrial	mitochondrial
Cquinoa_AUR62002761	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002765	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002764	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002763	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002766	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002768	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002767	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002769	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002770	dual	dual	plastid	non-organellar	non-organellar
Cquinoa_AUR62002771	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002772	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002773	dual	dual	mitochondrial	mitochondrial	non-organellar
Cquinoa_AUR62002774	plastid	plastid	plastid	plastid	plastid
Cquinoa_AUR62002775	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002777	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002776	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002778	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002781	plastid	plastid	plastid	non-organellar	non-organellar
Cquinoa_AUR62002782	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002783	plastid	plastid	plastid	non-organellar	non-organellar
Cquinoa_AUR62002780	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002779	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002785	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002784	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002789	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002787	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002786	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002788	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002790	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002791	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002792	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002793	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002795	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002794	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002796	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002798	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002799	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002797	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002801	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002800	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002803	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002804	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002805	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002802	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002807	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002806	plastid	plastid	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002810	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002809	dual	dual	mitochondrial	plastid	plastid
Cquinoa_AUR62002808	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002812	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002811	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002813	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002814	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002816	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002815	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002821	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002817	dual	plastid	mitochondrial	plastid	non-organellar
Cquinoa_AUR62002818	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002820	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002819	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002823	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002824	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002822	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002825	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002829	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002828	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002827	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002826	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002830	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002831	plastid	non-organellar	plastid	non-organellar	N/A
Cquinoa_AUR62002832	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002834	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002833	plastid	plastid	plastid	plastid	N/A
Cquinoa_AUR62002836	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002835	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002839	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002838	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002837	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002840	dual	plastid	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002841	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002843	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002844	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002845	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002846	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002847	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002848	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002849	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002851	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002850	dual	dual	plastid	plastid	non-organellar
Cquinoa_AUR62002852	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002855	dual	dual	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002853	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002854	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002856	dual	dual	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002857	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002859	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002858	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002860	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002861	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002862	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002863	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002864	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002865	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002866	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002867	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002868	dual	dual	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002869	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002870	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002871	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002875	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002873	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002872	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002874	dual	dual	mitochondrial	mitochondrial	non-organellar
Cquinoa_AUR62002878	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002879	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002876	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002877	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002880	plastid	non-organellar	non-organellar	plastid	non-organellar
Cquinoa_AUR62002881	plastid	plastid	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002886	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002884	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002882	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002883	plastid	plastid	plastid	non-organellar	non-organellar
Cquinoa_AUR62002885	dual	dual	mitochondrial	plastid	plastid
Cquinoa_AUR62002891	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002890	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002888	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002889	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002887	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002892	plastid	plastid	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002893	mitochondrial	mitochondrial	non-organellar	mitochondrial	N/A
Cquinoa_AUR62002895	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002896	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002894	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002897	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002898	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002899	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002900	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002906	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002901	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002903	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002902	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002907	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002904	plastid	plastid	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002905	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002908	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002913	dual	dual	mitochondrial	plastid	plastid
Cquinoa_AUR62002912	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002911	dual	mitochondrial	plastid	mitochondrial	non-organellar
Cquinoa_AUR62002909	plastid	non-organellar	plastid	non-organellar	plastid
Cquinoa_AUR62002910	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002914	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002918	dual	dual	mitochondrial	plastid	dual
Cquinoa_AUR62002917	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002915	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002916	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002920	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002919	plastid	plastid	plastid	plastid	plastid
Cquinoa_AUR62002921	plastid	plastid	plastid	plastid	plastid
Cquinoa_AUR62002923	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002922	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002925	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002926	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002924	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002930	plastid	plastid	plastid	plastid	non-organellar
Cquinoa_AUR62002929	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002928	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002927	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002933	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002931	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002932	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002934	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002935	dual	dual	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002936	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002937	dual	plastid	mitochondrial	non-organellar	plastid
Cquinoa_AUR62002938	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002940	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002939	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002943	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002946	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002941	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002945	plastid	plastid	plastid	non-organellar	non-organellar
Cquinoa_AUR62002942	dual	plastid	mitochondrial	plastid	non-organellar
Cquinoa_AUR62002944	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002948	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002950	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002947	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002949	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002952	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002951	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002953	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002956	plastid	plastid	plastid	plastid	non-organellar
Cquinoa_AUR62002955	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002954	plastid	plastid	plastid	plastid	plastid
Cquinoa_AUR62002958	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002957	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002959	mitochondrial	mitochondrial	non-organellar	mitochondrial	non-organellar
Cquinoa_AUR62002963	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002961	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002962	plastid	plastid	plastid	plastid	plastid
Cquinoa_AUR62002960	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002964	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002965	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002966	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002967	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002968	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002972	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002977	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002970	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002973	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002971	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002974	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
