Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
evm.model.Ga01G0011	evm.model.Ga01G0179	evm.model.Ga01G1142	evm.model.Ga01G0235	evm.model.Ga03G2395	evm.model.Ga01G0235	evm.model.Ga01G0225	evm.model.Ga01G1615	evm.model.Ga01G0275	evm.model.Ga03G2395	evm.model.Ga01G0449	evm.model.Ga01G0245	evm.model.Ga04G0337	evm.model.Ga05G2935		evm.model.Ga03G2395	evm.model.Ga05G1058	evm.model.Ga03G2791	evm.model.Ga02G0821	evm.model.Ga03G2524	evm.model.Ga09G0462	evm.model.Ga06G2291	evm.model.Ga07G0112	evm.model.Ga01G1984	evm.model.Ga07G0265							evm.model.Ga06G2078		evm.model.Ga09G0603	evm.model.Ga04G1057	evm.model.Ga05G2938	evm.model.Ga09G0475	evm.model.Ga05G1190	evm.model.Ga02G0504	evm.model.Ga03G2284			evm.model.Ga10G1897	evm.model.Ga07G1879	evm.model.Ga07G2205		evm.model.Ga04G2140				evm.model.Ga11G1358	evm.model.Ga13G1656		evm.model.Ga10G2009	evm.model.Ga06G1032	
evm.model.Ga01G0012	evm.model.Ga01G0191	evm.model.Ga01G1155	evm.model.Ga01G0242	evm.model.Ga03G2502	evm.model.Ga01G0244	evm.model.Ga01G0240	evm.model.Ga01G1247	evm.model.Ga01G0292	evm.model.Ga03G2502	evm.model.Ga01G0481	evm.model.Ga01G0266	evm.model.Ga04G0359	evm.model.Ga05G4259		evm.model.Ga03G2502	evm.model.Ga06G0107	evm.model.Ga04G1203	evm.model.Ga02G0872	evm.model.Ga03G2574	evm.model.Ga09G0154	evm.model.Ga07G1436	evm.model.Ga07G0799	evm.model.Ga01G2076	evm.model.Ga07G1614							evm.model.Ga06G1032		evm.model.Ga09G2828	evm.model.Ga04G1226	evm.model.Ga05G0918	evm.model.Ga10G2358	evm.model.Ga06G1273	evm.model.Ga02G0038	evm.model.Ga03G2747			evm.model.Ga10G2373	evm.model.Ga07G2352	evm.model.Ga07G2431		evm.model.Ga04G0856					evm.model.Ga13G1694		evm.model.Ga11G2092	evm.model.Ga07G1960	
evm.model.Ga01G0014	evm.model.Ga01G0221	evm.model.Ga01G1168	evm.model.Ga01G0244	evm.model.Ga03G2591	evm.model.Ga01G0245	evm.model.Ga01G0242	evm.model.Ga01G0416	evm.model.Ga01G0294	evm.model.Ga03G2591	evm.model.Ga01G1965	evm.model.Ga01G0275	evm.model.Ga07G1437	evm.model.Ga05G1190		evm.model.Ga03G2591	evm.model.Ga06G1436	evm.model.Ga04G0402	evm.model.Ga02G0133	evm.model.Ga05G0864	evm.model.Ga10G1927	evm.model.Ga08G0089	evm.model.Ga08G0259	evm.model.Ga01G2100	evm.model.Ga08G0208							evm.model.Ga07G1960		evm.model.Ga11G0455	evm.model.Ga04G1494	evm.model.Ga05G3224	evm.model.Ga11G0739	evm.model.Ga06G0756	evm.model.Ga02G1144	evm.model.Ga03G2779			evm.model.Ga11G1599	evm.model.Ga07G0172	evm.model.Ga07G0152		evm.model.Ga04G0350							evm.model.Ga11G1431	evm.model.Ga07G2283	
evm.model.Ga01G0015	evm.model.Ga01G0224	evm.model.Ga01G1170	evm.model.Ga01G0245	evm.model.Ga03G2783	evm.model.Ga01G0275	evm.model.Ga01G0244	evm.model.Ga01G0449	evm.model.Ga01G0297	evm.model.Ga03G2783	evm.model.Ga01G1971	evm.model.Ga01G0292	evm.model.Ga07G0546	evm.model.Ga05G2118		evm.model.Ga03G2783	evm.model.Ga06G2255	evm.model.Ga04G0500	evm.model.Ga02G0314	evm.model.Ga05G1708	evm.model.Ga11G3407	evm.model.Ga08G0090	evm.model.Ga08G1673	evm.model.Ga01G2251	evm.model.Ga08G0821							evm.model.Ga07G2283		evm.model.Ga11G2901	evm.model.Ga05G2278	evm.model.Ga05G1664	evm.model.Ga12G0416	evm.model.Ga06G1416	evm.model.Ga02G1416	evm.model.Ga03G0361			evm.model.Ga11G2492	evm.model.Ga07G0768	evm.model.Ga08G2215		evm.model.Ga05G0091							evm.model.Ga12G1113	evm.model.Ga07G0258	
evm.model.Ga01G0016	evm.model.Ga01G0225	evm.model.Ga01G1615	evm.model.Ga01G0266	evm.model.Ga03G2791	evm.model.Ga01G0292	evm.model.Ga01G0245	evm.model.Ga01G1675	evm.model.Ga01G0354	evm.model.Ga03G2791	evm.model.Ga01G2097	evm.model.Ga01G0297	evm.model.Ga07G0564	evm.model.Ga06G1273		evm.model.Ga03G2791	evm.model.Ga06G2256	evm.model.Ga05G2285	evm.model.Ga02G1408	evm.model.Ga05G1924	evm.model.Ga13G0072	evm.model.Ga08G1419	evm.model.Ga08G0662	evm.model.Ga01G2272	evm.model.Ga08G0351							evm.model.Ga07G0258		evm.model.Ga12G1660	evm.model.Ga05G2666	evm.model.Ga05G2034	evm.model.Ga14G0079	evm.model.Ga09G0004	evm.model.Ga02G1621	evm.model.Ga04G1372			evm.model.Ga11G0960	evm.model.Ga08G0548	evm.model.Ga09G1305		evm.model.Ga05G2295							evm.model.Ga13G1651	evm.model.Ga08G0211	
evm.model.Ga01G0017	evm.model.Ga01G0235	evm.model.Ga01G1247	evm.model.Ga01G0275	evm.model.Ga03G0273	evm.model.Ga01G0294	evm.model.Ga01G0266	evm.model.Ga01G1676	evm.model.Ga01G1521	evm.model.Ga03G0273	evm.model.Ga01G2125	evm.model.Ga01G0298	evm.model.Ga07G0925	evm.model.Ga06G0756		evm.model.Ga03G0273	evm.model.Ga06G2257	evm.model.Ga05G2619	evm.model.Ga02G1469	evm.model.Ga06G0603	evm.model.Ga13G0077	evm.model.Ga09G1327	evm.model.Ga11G1570	evm.model.Ga01G2346	evm.model.Ga09G0358							evm.model.Ga08G0211		evm.model.Ga12G0568	evm.model.Ga05G2938	evm.model.Ga06G1562		evm.model.Ga09G0034	evm.model.Ga02G0581	evm.model.Ga04G1424			evm.model.Ga13G1830	evm.model.Ga11G2486	evm.model.Ga10G0035		evm.model.Ga05G2662							evm.model.Ga13G2793	evm.model.Ga08G0265	
evm.model.Ga01G0018	evm.model.Ga01G0240	evm.model.Ga01G0373	evm.model.Ga01G0292	evm.model.Ga04G1203	evm.model.Ga01G0297	evm.model.Ga01G0275	evm.model.Ga01G1921	evm.model.Ga01G1550	evm.model.Ga04G1203	evm.model.Ga01G2223	evm.model.Ga01G0354	evm.model.Ga08G1741	evm.model.Ga07G0493		evm.model.Ga04G1203	evm.model.Ga06G0403	evm.model.Ga05G3089	evm.model.Ga02G1571	evm.model.Ga06G2337	evm.model.Ga13G2422	evm.model.Ga09G1404	evm.model.Ga11G3491	evm.model.Ga01G2374	evm.model.Ga09G0925							evm.model.Ga08G0265		evm.model.Ga12G0658	evm.model.Ga05G3864	evm.model.Ga07G2565		evm.model.Ga09G1865	evm.model.Ga02G0594	evm.model.Ga04G1736			evm.model.Ga13G0188	evm.model.Ga12G1052	evm.model.Ga10G2236		evm.model.Ga05G2972								evm.model.Ga08G0346	
evm.model.Ga01G0019	evm.model.Ga01G0242	evm.model.Ga01G0416	evm.model.Ga01G0294	evm.model.Ga04G2094	evm.model.Ga01G0319	evm.model.Ga01G0292	evm.model.Ga01G1928	evm.model.Ga01G1562	evm.model.Ga04G2094	evm.model.Ga01G2272	evm.model.Ga01G1521	evm.model.Ga09G0603	evm.model.Ga08G2422		evm.model.Ga04G2094	evm.model.Ga07G1102	evm.model.Ga05G4172	evm.model.Ga03G1172	evm.model.Ga07G1058	evm.model.Ga13G2550	evm.model.Ga10G2281	evm.model.Ga11G3506	evm.model.Ga01G0802	evm.model.Ga09G1365							evm.model.Ga08G0346		evm.model.Ga13G0807	evm.model.Ga05G0918	evm.model.Ga07G1554		evm.model.Ga09G2634	evm.model.Ga03G0816	evm.model.Ga04G1796			evm.model.Ga13G0906	evm.model.Ga12G1366	evm.model.Ga10G2674		evm.model.Ga05G1945								evm.model.Ga08G2860	
evm.model.Ga01G0020	evm.model.Ga01G0244	evm.model.Ga01G0449	evm.model.Ga01G0297	evm.model.Ga04G0402	evm.model.Ga01G0330	evm.model.Ga01G0297	evm.model.Ga01G1962	evm.model.Ga01G1047	evm.model.Ga04G0402	evm.model.Ga01G2604	evm.model.Ga01G1550	evm.model.Ga09G2828	evm.model.Ga08G2701		evm.model.Ga04G0402	evm.model.Ga08G2383	evm.model.Ga05G1562	evm.model.Ga03G1551	evm.model.Ga07G2008	evm.model.Ga14G1658	evm.model.Ga11G1762	evm.model.Ga12G0675	evm.model.Ga01G1435	evm.model.Ga09G1763							evm.model.Ga08G2860		evm.model.Ga13G0810	evm.model.Ga05G3224	evm.model.Ga08G0071		evm.model.Ga10G1602	evm.model.Ga03G1466	evm.model.Ga05G0346				evm.model.Ga13G0268	evm.model.Ga10G2920		evm.model.Ga06G1322								evm.model.Ga09G0964	
evm.model.Ga01G0021	evm.model.Ga01G0245	evm.model.Ga01G0481	evm.model.Ga01G0298	evm.model.Ga04G0500	evm.model.Ga01G0338	evm.model.Ga01G0298	evm.model.Ga01G1971	evm.model.Ga01G1061	evm.model.Ga04G0500	evm.model.Ga01G2659	evm.model.Ga01G1562	evm.model.Ga11G0455	evm.model.Ga09G0004		evm.model.Ga04G0500	evm.model.Ga08G2397	evm.model.Ga05G1726	evm.model.Ga03G1552	evm.model.Ga07G2424		evm.model.Ga11G0854	evm.model.Ga12G2906	evm.model.Ga02G0774	evm.model.Ga09G2411							evm.model.Ga09G0964		evm.model.Ga13G0954	evm.model.Ga05G1375	evm.model.Ga08G0149		evm.model.Ga10G2402	evm.model.Ga03G1524	evm.model.Ga05G0417				evm.model.Ga14G0004	evm.model.Ga11G1998		evm.model.Ga06G0656								evm.model.Ga09G2197	
evm.model.Ga01G0023	evm.model.Ga01G0266	evm.model.Ga01G1675	evm.model.Ga01G0354	evm.model.Ga05G0299	evm.model.Ga01G0354	evm.model.Ga01G0336	evm.model.Ga01G1984	evm.model.Ga01G1070	evm.model.Ga05G0299	evm.model.Ga01G2664	evm.model.Ga01G1047	evm.model.Ga11G2901	evm.model.Ga09G2634		evm.model.Ga05G0299	evm.model.Ga08G2428	evm.model.Ga05G1846	evm.model.Ga03G1693	evm.model.Ga07G2666		evm.model.Ga13G0641	evm.model.Ga12G1001	evm.model.Ga02G0812	evm.model.Ga10G0117							evm.model.Ga09G2197			evm.model.Ga05G1664	evm.model.Ga08G1080		evm.model.Ga11G0103	evm.model.Ga03G2123	evm.model.Ga05G3517				evm.model.Ga14G0644	evm.model.Ga13G2390		evm.model.Ga06G2321								evm.model.Ga09G2636	
evm.model.Ga01G0024	evm.model.Ga01G0275	evm.model.Ga01G1676	evm.model.Ga01G1521	evm.model.Ga05G0321	evm.model.Ga01G1521	evm.model.Ga01G0338	evm.model.Ga01G2076	evm.model.Ga01G1082	evm.model.Ga05G0321	evm.model.Ga01G0683	evm.model.Ga01G1061	evm.model.Ga12G1660	evm.model.Ga10G1602		evm.model.Ga05G0321	evm.model.Ga08G2875	evm.model.Ga06G0570	evm.model.Ga03G2426	evm.model.Ga07G0248		evm.model.Ga13G2194	evm.model.Ga13G2563	evm.model.Ga02G0069	evm.model.Ga10G0687							evm.model.Ga09G2636			evm.model.Ga05G1717	evm.model.Ga08G1232		evm.model.Ga12G1321	evm.model.Ga03G2412	evm.model.Ga05G2647				evm.model.Ga14G2247	evm.model.Ga13G2391		evm.model.Ga06G1018								evm.model.Ga10G0126	
