#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
evm.model.Ga01G0026	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0027	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0028	dual	dual	mitochondrial	mitochondrial	non-organellar
evm.model.Ga01G0029	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0030	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0031	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0032	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0033	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0034	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0035	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0036	dual	dual	mitochondrial	mitochondrial	non-organellar
evm.model.Ga01G0037	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0038	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0039	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0040	dual	dual	plastid	non-organellar	plastid
evm.model.Ga01G0041	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0042	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0043	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0044	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0045	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0046	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0047	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0048	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0049	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0050	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0051	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0052	dual	plastid	mitochondrial	non-organellar	plastid
evm.model.Ga01G0053	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0054	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0055	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0056	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0057	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0058	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0059	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0060	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0061	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0062	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0063	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0064	plastid	plastid	non-organellar	plastid	non-organellar
evm.model.Ga01G0065	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0066	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0067	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0068	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0069	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0070	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0071	plastid	plastid	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0072	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0073	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0074	dual	plastid	plastid	dual	non-organellar
evm.model.Ga01G0075	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0076	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0077	plastid	non-organellar	plastid	plastid	non-organellar
evm.model.Ga01G0078	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0079	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0080	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0081	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0082	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0083	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0084	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0085	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0086	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0087	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0088	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0089	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0090	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0091	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0092	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0093	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0094	mitochondrial	mitochondrial	mitochondrial	mitochondrial	non-organellar
evm.model.Ga01G0095	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0096	dual	dual	plastid	plastid	plastid
evm.model.Ga01G0097	dual	dual	non-organellar	mitochondrial	non-organellar
evm.model.Ga01G0098	mitochondrial	non-organellar	mitochondrial	mitochondrial	non-organellar
evm.model.Ga01G0099	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0100	dual	dual	non-organellar	non-organellar	N/A
evm.model.Ga01G0101	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0102	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0103	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0104	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0105	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0106	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0107	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0108	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0109	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0110	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0111	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0112	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0113	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0114	plastid	plastid	plastid	plastid	plastid
evm.model.Ga01G0115	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0116	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0117	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0118	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0119	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0120	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0121	dual	non-organellar	mitochondrial	plastid	non-organellar
evm.model.Ga01G0122	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0123	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0124	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0125	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0126	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0127	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0128	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0129	mitochondrial	non-organellar	mitochondrial	non-organellar	mitochondrial
evm.model.Ga01G0130	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0131	dual	dual	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0132	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0133	plastid	non-organellar	non-organellar	plastid	non-organellar
evm.model.Ga01G0134	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0135	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0136	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0137	dual	plastid	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0138	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0139	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0140	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0141	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0142	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0143	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0144	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0145	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0146	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0147	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0148	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0149	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0150	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0151	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0152	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0153	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0154	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0155	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0156	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0157	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0158	dual	dual	plastid	plastid	non-organellar
evm.model.Ga01G0159	dual	dual	plastid	mitochondrial	non-organellar
evm.model.Ga01G0160	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0161	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0162	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0163	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0164	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0165	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0166	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0167	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0168	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0169	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0170	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0171	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0172	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0173	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0174	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0175	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0176	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0177	dual	mitochondrial	plastid	non-organellar	non-organellar
evm.model.Ga01G0178	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0179	dual	dual	plastid	plastid	plastid
evm.model.Ga01G0180	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0181	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0182	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0183	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0184	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0185	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0186	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0187	mitochondrial	mitochondrial	mitochondrial	mitochondrial	mitochondrial
evm.model.Ga01G0188	dual	non-organellar	mitochondrial	non-organellar	plastid
evm.model.Ga01G0189	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0190	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0191	dual	dual	plastid	plastid	plastid
evm.model.Ga01G0192	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0193	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0194	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0195	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0196	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0197	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0198	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0199	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0200	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0201	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0202	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0203	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0204	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0205	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0206	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0207	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0208	plastid	non-organellar	non-organellar	plastid	non-organellar
evm.model.Ga01G0209	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0210	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0211	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0212	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0213	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0214	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0215	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0216	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0217	dual	dual	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0218	dual	dual	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0219	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0220	dual	dual	mitochondrial	mitochondrial	non-organellar
evm.model.Ga01G0221	dual	dual	plastid	non-organellar	non-organellar
evm.model.Ga01G0222	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0223	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0224	dual	dual	mitochondrial	mitochondrial	mitochondrial
evm.model.Ga01G0225	dual	plastid	mitochondrial	plastid	dual
evm.model.Ga01G0226	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0227	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0228	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0229	plastid	non-organellar	non-organellar	plastid	non-organellar
evm.model.Ga01G0230	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0231	dual	plastid	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0232	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0233	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0234	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0235	mitochondrial	mitochondrial	mitochondrial	non-organellar	mitochondrial
evm.model.Ga01G0236	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0237	plastid	plastid	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0238	plastid	plastid	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0239	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0240	dual	dual	plastid	plastid	dual
evm.model.Ga01G0241	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0242	plastid	plastid	plastid	plastid	plastid
evm.model.Ga01G0243	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
evm.model.Ga01G0244	dual	dual	plastid	plastid	plastid
evm.model.Ga01G0245	dual	dual	plastid	plastid	non-organellar
evm.model.Ga01G0246	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0247	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0248	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0249	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0250	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0251	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0252	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0253	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0254	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0255	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0256	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0257	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0258	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0259	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0260	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0261	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0262	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0263	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0264	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0265	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0266	plastid	plastid	plastid	plastid	plastid
evm.model.Ga01G0267	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0268	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0269	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0270	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0271	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0272	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0273	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0274	plastid	non-organellar	non-organellar	plastid	plastid
evm.model.Ga01G0275	dual	plastid	mitochondrial	plastid	plastid
evm.model.Ga01G0276	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0277	dual	plastid	mitochondrial	plastid	non-organellar
evm.model.Ga01G0278	plastid	plastid	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0279	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0280	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0281	dual	dual	mitochondrial	mitochondrial	mitochondrial
evm.model.Ga01G0282	dual	dual	mitochondrial	mitochondrial	mitochondrial
evm.model.Ga01G0283	dual	dual	mitochondrial	dual	mitochondrial
evm.model.Ga01G0284	dual	dual	mitochondrial	mitochondrial	mitochondrial
evm.model.Ga01G0285	dual	dual	mitochondrial	mitochondrial	mitochondrial
evm.model.Ga01G0286	dual	dual	mitochondrial	mitochondrial	mitochondrial
evm.model.Ga01G0287	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0288	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0289	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0290	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0291	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
evm.model.Ga01G0292	dual	dual	mitochondrial	plastid	non-organellar
evm.model.Ga01G0293	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0294	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0295	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0296	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0297	dual	dual	plastid	plastid	plastid
evm.model.Ga01G0298	plastid	non-organellar	plastid	non-organellar	non-organellar
evm.model.Ga01G0299	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0300	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0301	plastid	plastid	plastid	non-organellar	non-organellar
evm.model.Ga01G0302	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0303	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0304	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0305	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0306	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0307	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0308	plastid	plastid	plastid	plastid	plastid
evm.model.Ga01G0309	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0310	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0311	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0312	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0313	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0314	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0315	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0316	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0317	plastid	non-organellar	non-organellar	plastid	non-organellar
evm.model.Ga01G0318	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0319	mitochondrial	non-organellar	non-organellar	non-organellar	mitochondrial
evm.model.Ga01G0320	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0321	dual	mitochondrial	plastid	non-organellar	non-organellar
evm.model.Ga01G0322	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0323	dual	dual	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0324	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0325	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
evm.model.Ga01G0326	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0327	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0328	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0329	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0330	mitochondrial	non-organellar	mitochondrial	mitochondrial	non-organellar
