#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Cara_E_LOC113703837_rna58218	plastid	non-organellar	non-organellar	plastid	non-organellar
Cara_E_LOC113741412_rna31396	plastid	plastid	plastid	non-organellar	non-organellar
Cara_E_LOC113713933_rna6835	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113741410_rna32959	dual	plastid	mitochondrial	plastid	non-organellar
Cara_E_LOC113741411_rna33319	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113741416_rna30980	plastid	plastid	non-organellar	plastid	non-organellar
Cara_E_LOC113741417_rna32900	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113741414_rna32515	plastid	plastid	plastid	plastid	plastid
Cara_E_LOC113741415_rna32318	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113741418_rna31029	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113741419_rna33950	plastid	plastid	non-organellar	plastid	non-organellar
Cara_E_LOC113733295_rna21759	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113733294_rna21758	dual	non-organellar	mitochondrial	plastid	non-organellar
Cara_E_LOC113733297_rna21764	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113733296_rna21761	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113733291_rna21755	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113733290_rna21753	dual	dual	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113733293_rna21757	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113733292_rna21756	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113733299_rna21767	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_E_LOC113733298_rna21765	dual	dual	plastid	dual	mitochondrial
Cara_E_LOC113729159_rna20120	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729158_rna20119	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729151_rna20113	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729150_rna20112	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729153_rna20114	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729155_rna20116	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729154_rna16608	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729157_rna20117	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729156_rna17160	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113710421_rna65949	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113743654_rna35940	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113696064_rna45049	plastid	plastid	non-organellar	plastid	plastid
Cara_E_LOC113703759_rna57635	dual	dual	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113696065_rna44857	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113703757_rna58136	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113703756_rna55729	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113703755_rna55728	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113703754_rna5029	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113703753_rna55725	dual	dual	plastid	non-organellar	plastid
Cara_E_LOC113703750_rna56374	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cara_E_LOC113717105_rna7382	dual	dual	mitochondrial	mitochondrial	non-organellar
Cara_E_LOC113695159_rna5466	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113695158_rna45032	plastid	plastid	plastid	plastid	plastid
Cara_E_LOC113695151_rna5463	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695150_rna47071	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695153_rna46394	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695152_rna45174	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695155_rna44883	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695154_rna46087	dual	dual	mitochondrial	plastid	non-organellar
Cara_E_LOC113695157_rna45789	dual	dual	mitochondrial	plastid	non-organellar
Cara_E_LOC113711255_rna6401	dual	dual	plastid	plastid	non-organellar
Cara_E_LOC113697948_rna3519	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711254_rna67832	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113712687_rna67279	dual	dual	plastid	plastid	plastid
Cara_E_LOC113712686_rna67348	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113712685_rna67345	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113712684_rna66677	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113712683_rna68357	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113712682_rna68356	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113712681_rna68429	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113712680_rna67502	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_E_LOC113712689_rna66585	plastid	plastid	plastid	plastid	plastid
Cara_E_LOC113712688_rna66583	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711798_rna67913	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711799_rna66391	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711794_rna66319	plastid	plastid	plastid	non-organellar	non-organellar
Cara_E_LOC113711795_rna68556	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711796_rna66610	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113711797_rna68531	dual	dual	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711790_rna6508	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711791_rna66316	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cara_E_LOC113711792_rna66318	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113713481_rna6768	dual	mitochondrial	plastid	non-organellar	non-organellar
Cara_E_LOC113694208_rna5028	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113736681_rna25320	plastid	non-organellar	non-organellar	plastid	non-organellar
Cara_E_LOC113711428_rna68302	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711429_rna6440	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688218_rna36408	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_E_LOC113701934_rna52646	mitochondrial	mitochondrial	mitochondrial	mitochondrial	mitochondrial
Cara_E_LOC113688214_rna36360	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688215_rna3634	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711420_rna68292	mitochondrial	non-organellar	mitochondrial	mitochondrial	non-organellar
Cara_E_LOC113711421_rna68293	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688210_rna35710	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711427_rna68301	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711424_rna6439	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113711425_rna68296	dual	mitochondrial	plastid	mitochondrial	mitochondrial
Cara_E_LOC113701936_rna52679	plastid	plastid	plastid	non-organellar	non-organellar
Cara_E_LOC113736685_rna26427	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113701930_rna52596	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Cara_E_LOC113713155_rna6722	dual	dual	mitochondrial	mitochondrial	mitochondrial
Cara_E_LOC113729638_rna20818	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729636_rna20796	plastid	plastid	plastid	plastid	plastid
Cara_E_LOC113729630_rna20768	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729631_rna20784	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113729632_rna20786	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113729633_rna17677	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113709287_rna65294	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113709286_rna64644	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113709285_rna65693	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113709284_rna65898	dual	plastid	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113709283_rna6063	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113709282_rna65246	mitochondrial	mitochondrial	mitochondrial	mitochondrial	non-organellar
Cara_E_LOC113709281_rna65502	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113709280_rna65882	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113709289_rna64279	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113709288_rna65457	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113715412_rna7090	mitochondrial	mitochondrial	mitochondrial	mitochondrial	non-organellar
Cara_E_LOC113717489_rna7448	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695638_rna46544	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695639_rna44894	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695634_rna45447	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Cara_E_LOC113695635_rna44852	dual	plastid	mitochondrial	plastid	plastid
Cara_E_LOC113695636_rna46008	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695637_rna44889	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695630_rna44827	dual	mitochondrial	plastid	non-organellar	non-organellar
Cara_E_LOC113695631_rna48621	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695633_rna44839	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687298_rna34846	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687295_rna34844	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687297_rna34845	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687291_rna34833	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687290_rna34827	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113687293_rna34843	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687292_rna34842	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113697168_rna45512	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113697169_rna44956	plastid	plastid	plastid	plastid	plastid
Cara_E_LOC113697162_rna45157	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113697163_rna48104	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113697160_rna45780	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113697161_rna45779	dual	dual	mitochondrial	mitochondrial	non-organellar
Cara_E_LOC113697166_rna3377	dual	dual	plastid	dual	non-organellar
Cara_E_LOC113697167_rna44603	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113697164_rna46215	dual	dual	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113697165_rna45312	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718766_rna77561	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718764_rna76425	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
